date,inflation_yoy,rate_change,bond_yield_change,vix_ma
2013-07-01,-0.5949848834618283,-0.2626383962678739,2.3284247258799646,0.9112609569552418
2013-08-01,-0.685994440857678,-0.22529644419187284,0.4970794358620154,0.8032810347200663
2013-10-01,-0.7293471430062625,-0.15061254003987082,-0.5494035870053853,0.7616556134008596
2013-11-01,-0.6464548723724431,-0.22529644419187284,0.27283307381900096,0.714771074330637
2014-04-01,-0.24322683485474172,-0.15061254003987082,-0.13828525659319302,0.4636758029371698
2014-05-01,-0.398514076539403,-0.18795449211587184,-0.6615267680268916,0.24424717958178893
2014-07-01,-0.5836950402873664,-0.18795449211587184,-0.17565965026702793,0.10169131398693168
2014-08-01,-0.5275602186816827,-0.18795449211587184,-0.5494035870053853,0.04048405331756396
2014-10-01,-0.7998888220628679,-0.18795449211587184,-0.5494035870053853,-0.016806854421537797
2014-12-01,-0.8789316737566845,-0.07592863588786875,-0.43728040598387724,-0.09737218876097246
2015-04-01,-0.807029698656632,-0.18795449211587184,-1.1100194921129205,-0.12557004724276574
2015-05-01,-0.7013570547065524,-0.18795449211587184,0.8708233726003728,-0.21855586546842054
2015-06-01,-0.7590001252850967,-0.15061254003987076,0.49707943586201375,-0.2569362842539522
2015-07-01,-0.7883332745410315,-0.18795449211587184,-0.2504084376146994,-0.28166535317945246
2015-09-01,-0.9042890149156306,-0.15061254003987076,-0.6615267680268916,-0.1078904242630069
2015-10-01,-0.935494059262006,-0.26263839626787394,-0.4746547996577138,-0.12031091882048778
2015-12-01,-1.2970764951837084,0.26014893279614054,0.534453829535852,-0.3122130447619283
2016-02-01,-1.4303138317495758,0.33483283694814264,-1.8201329719157997,-0.47770766175882234
2016-03-01,-1.4056271951024637,-0.26263839626787394,0.31020746749283584,-0.5863589450618496
2016-04-01,-1.261690312575961,-0.15061254003987076,-0.3999060123100415,-0.6473424080373384
2016-06-01,-1.0707498187111166,-0.15061254003987076,-0.7362755553745639,-0.6815826761987241
2016-07-01,-0.9076886675786872,-0.15061254003987076,-0.6241523743530559,-0.7020596956531409
2016-08-01,-0.8354280004215637,-0.15061254003987076,0.12333549912365799,-0.8611762171008845
2016-09-01,-0.8600570344544437,-0.18795449211587184,0.1607098927974929,-0.9224953766171923
2016-11-01,-0.8324401176438525,-0.15061254003987098,1.8051832144462654,-0.8974306111508739
2016-12-01,-0.7981225940988478,0.29749088487214176,1.2071929156648935,-0.9267474474307997
2017-02-01,-0.5079957199851778,0.26014893279614054,-0.3625316186362074,-0.9389441336231404
2017-03-01,-0.5617821426642045,0.2974908848721416,0.12333549912365799,-0.9704988828142874
2017-05-01,-0.5491822075636434,0.26014893279614054,-0.7736499490483997,-1.009326896987576
2017-06-01,-0.45896984101811383,0.2974908848721416,-0.5120291933315487,-1.060799182069703
2017-08-01,-0.4204991729070006,0.2601489327961401,-0.026162075571684953,-1.1310700572584598
2017-09-01,-0.37341584342608686,-0.2252964441918729,-0.13828525659319135,-1.1625129076026672
2017-11-01,-0.4362093811239749,-0.15061254003987076,0.4597050421881788,-1.2222655259468682
2017-12-01,-0.3394847463432584,0.33483283694814303,0.08596110544982143,-1.242966332423901
2018-02-01,-0.15018535490993504,0.2601489327961401,1.6183112460770859,-1.2388261711284945
2018-03-01,-0.2406629427508074,0.14812307656813775,-0.17565965026702793,-1.1356578032703633
2018-05-01,-0.19081049783326673,0.5215425973281475,0.4223306485143439,-1.0870948135098326
2018-06-01,-0.2511737205776312,0.26014893279614093,-0.36253161863620575,-1.1270417948099931
2018-08-01,-0.36488719220222804,0.14812307656813692,-0.17565965026702793,-1.1668768665919527
2018-10-01,-0.18396419557696453,0.8576201660121571,0.8708233726003711,-1.1910464626252788
2018-11-01,-0.22732145082673966,-0.15061254003986993,-0.21303404394086284,-1.1437143281672972
2019-02-01,-0.1447525313452337,0.5588845494041478,-1.7453841845681273,-1.105222010534827
2019-03-01,-0.1594617083043517,-0.15061254003986993,-0.5120291933315504,-1.1096978683710517
2019-04-01,-0.20945080899967655,-0.1506125400398716,-0.2504084376146994,-1.1397979752370306
2019-05-01,-0.3282068210532226,-0.2999803483438742,-0.5867779806792202,-1.3255458033232008
2019-07-01,-0.33283499883449763,-0.1506125400398716,-1.37164024782977,-1.4205457367661967
2019-08-01,-0.555669546056474,-1.1961871981678998,-1.7080097908942924,-1.3847389167614428
2019-10-01,-0.4014734330191421,-1.308213054395902,0.19808428647132947,-1.4006281902039555
2019-11-01,-0.4771963565159213,-1.2335291502439008,0.27283307381900096,-1.461052190958532
2020-04-01,-0.7752035309058741,-5.789247303516026,-4.398966135410462,-0.9691561073222754
2020-05-01,-0.9021244110955126,-0.18795449211587184,-0.06353646924552069,-0.7119065594160604
2020-06-01,-0.8860762501270875,-0.07592863588786875,0.12333549912365757,-0.5612941689242698
2020-07-01,-0.6737258884887816,-0.15061254003987082,-0.5120291933315491,-0.3802459643544194
2020-09-01,-0.5454207851696268,-0.18795449211587184,0.12333549912365799,-0.23880904454391186
2020-10-01,-0.6389738779374939,-0.18795449211587184,0.3102074674928363,-0.14772545335992004
2020-12-01,-0.5336455352858598,-0.18795449211587184,0.4223306485143435,-0.0727549333123202
2021-02-01,-0.3265988224692788,-0.22529644419187284,1.1324441283172215,0.13346991422826415
2021-03-01,-0.20571163953547278,-0.22529644419187284,1.2071929156648935,0.2544298039130954
2021-04-01,-0.0075106197448471185,-0.18795449211587184,0.011212318102149956,0.3352189252751469
2021-06-01,0.3946544740497473,-0.15061254003987082,-0.5494035870053844,0.4248478421201879
2021-07-01,0.462591191584547,-0.11327058796386975,-0.8483987363960703,0.48515993335656316
2021-09-01,1.0182235543288531,-0.2626383962678739,0.08596110544982226,0.5520739178359665
2021-10-01,1.4241037311711089,-0.18795449211587184,0.6839514042311933,0.6740408758007301
2021-11-01,1.5680381073016258,-0.18795449211587184,-0.17565965026702793,0.7297652210252019
2021-12-01,1.6382887209212624,-0.18795449211587184,-0.4372804059838781,0.9272621719297391
2022-02-01,1.8965869058274403,-0.18795449211587184,1.6183112460770859,0.9215554587909643
2022-03-01,2.2865236988338205,0.26014893279614054,0.6465770105573575,1.1210665355841045
2022-04-01,2.146442681749123,0.2974908848721416,2.2163015448584575,1.1901065341277888
2022-06-01,2.7888480358977104,3.098137290572218,1.3566904903602364,1.330424486811425
2022-07-01,2.5728976646487918,1.5671172554561765,-0.9978963110914142,1.4949120355283867
2022-08-01,2.349469926099636,2.2392723928241955,-0.10091086291935643,1.5340757355712327
