Date,SP500,NIFTY,GOLD,CRUDE
2010-01-04,81.51000213623047,1117.699951171875,1132.989990234375,5232.2001953125
2010-01-05,81.7699966430664,1118.0999755859375,1136.52001953125,5277.89990234375
2010-01-06,83.18000030517578,1135.9000244140625,1137.1400146484375,5281.7998046875
2010-01-07,82.66000366210938,1133.0999755859375,1141.68994140625,5263.10009765625
2010-01-08,82.75,1138.199951171875,1144.97998046875,5244.75
2010-01-11,82.5199966430664,1150.699951171875,1146.97998046875,5249.39990234375
2010-01-12,80.79000091552734,1128.9000244140625,1136.219970703125,5210.39990234375
2010-01-13,79.6500015258789,1136.4000244140625,1145.6800537109375,5233.9501953125
2010-01-14,79.38999938964844,1142.5999755859375,1148.4599609375,5259.89990234375
2010-01-15,78.0,1130.0999755859375,1136.030029296875,5252.2001953125
2010-01-18,,,,5274.85009765625
2010-01-19,79.0199966430664,1139.699951171875,1150.22998046875,5225.64990234375
2010-01-20,77.62000274658203,1112.300048828125,1138.0400390625,5221.7001953125
2010-01-21,76.08000183105469,1102.699951171875,1116.47998046875,5094.14990234375
2010-01-22,74.54000091552734,1089.199951171875,1091.760009765625,5036.0
2010-01-25,75.26000213623047,1095.199951171875,1096.780029296875,5007.89990234375
2010-01-26,74.70999908447266,1097.9000244140625,1092.1700439453125,
2010-01-27,73.66999816894531,1084.4000244140625,1097.5,4853.10009765625
2010-01-28,73.63999938964844,1083.5999755859375,1084.530029296875,4867.25
2010-01-29,72.88999938964844,1083.0,1073.8699951171875,4882.0498046875
2010-02-01,74.43000030517578,1104.300048828125,1089.18994140625,4899.7001953125
2010-02-02,77.2300033569336,1117.4000244140625,1103.3199462890625,4830.10009765625
2010-02-03,76.9800033569336,1111.4000244140625,1097.280029296875,4931.85009765625
2010-02-04,73.13999938964844,1062.4000244140625,1063.1099853515625,4845.35009765625
2010-02-05,71.19000244140625,1052.199951171875,1066.18994140625,4718.64990234375
2010-02-08,71.88999938964844,1065.699951171875,1056.739990234375,4760.39990234375
2010-02-09,73.75,1076.699951171875,1070.52001953125,4792.64990234375
2010-02-10,74.5199966430664,1075.800048828125,1068.1300048828125,4757.2001953125
2010-02-11,75.27999877929688,1094.199951171875,1078.469970703125,4826.85009765625
2010-02-12,74.12999725341797,1089.5,1075.510009765625,
2010-02-15,,,,4801.9501953125
